period,org_code,org_name,region,attendances_type1,attendances_type2,attendances_type3,attendances_type1_booked,attendances_type2_booked,attendances_type3_booked,over_4hrs_type1,over_4hrs_type2,over_4hrs_type3,over_4hrs_type1_booked,over_4hrs_type2_booked,over_4hrs_type3_booked,wait_4_12h_dta,wait_12h_plus_dta,emergency_admissions_type1,emergency_admissions_type2,emergency_admissions_type3,emergency_admissions_other,total_attendances,total_over_4_hours,in_4_hours,pct_in_4_hours,total_emergency_admissions,source_file
2024-05-01,ACH01,WHITSTABLE MEDICAL PRACTICE,NHS ENGLAND SOUTH EAST,0,0,4668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4668,0,4668,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,AD913,BECKENHAM BEACON UCC,NHS ENGLAND LONDON,0,0,3999,0,0,187,0,0,34,0,0,0,0,0,0,0,0,0,4186,34,4152,99.18776875298614,0,Monthly-AE-May-2024.csv
2024-05-01,AJN,WORKINGTON HEALTH LIMITED,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,330,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,AQN04,PHL LYMINGTON UTC,NHS ENGLAND SOUTH EAST,0,0,3021,0,0,20,0,0,13,0,0,0,0,0,0,0,0,0,3041,13,3028,99.57250904307793,0,Monthly-AE-May-2024.csv
2024-05-01,ARN03,LOCAL CARE DIRECT,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,2366,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,2683,0,2683,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,AXG,WILTSHIRE HEALTH & CARE,NHS ENGLAND SOUTH WEST,0,0,2691,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,2691,63,2628,97.65886287625418,0,Monthly-AE-May-2024.csv
2024-05-01,C82009,MARKET HARBOROUGH MED.CTR,NHS ENGLAND MIDLANDS,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,374,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,C82038,LATHAM HOUSE MEDICAL PRACTICE,NHS ENGLAND MIDLANDS,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,335,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,C83023,SLEAFORD MEDICAL GROUP,NHS ENGLAND MIDLANDS,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,605,0,605,100.0,18,Monthly-AE-May-2024.csv
2024-05-01,DT301,HERTS URGENT CARE (ASCOTS LANE),NHS ENGLAND EAST OF ENGLAND,0,0,2489,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,2489,68,2421,97.26797910807554,0,Monthly-AE-May-2024.csv
2024-05-01,G0Q0L,BARKING HOSPITAL UTC,NHS ENGLAND LONDON,0,0,2969,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2969,16,2953,99.46109801279893,0,Monthly-AE-May-2024.csv
2024-05-01,K6K0R,HAROLD WOOD POLYCLINIC UTC,NHS ENGLAND LONDON,0,0,3114,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3114,11,3103,99.64675658317277,0,Monthly-AE-May-2024.csv
2024-05-01,L83087,OKEHAMPTON MEDICAL CENTRE,NHS ENGLAND SOUTH WEST,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,76,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,NHS ENGLAND SOUTH EAST,0,0,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395,0,2395,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),NHS ENGLAND MIDLANDS,0,0,4727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4727,0,4727,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,NLX,SIRONA CARE & HEALTH,NHS ENGLAND SOUTH WEST,0,0,8802,0,0,234,0,0,671,0,0,58,0,0,0,0,0,0,9036,729,8307,91.93227091633466,0,Monthly-AE-May-2024.csv
2024-05-01,NNF09,BRANSHOLME HEALTH CENTRE,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,4032,0,0,0,0,0,990,0,0,0,0,0,0,0,0,0,4032,990,3042,75.44642857142857,0,Monthly-AE-May-2024.csv
2024-05-01,NNF94,EAST RIDING COMMUNITY HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,3083,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,3083,578,2505,81.25202724618877,0,Monthly-AE-May-2024.csv
2024-05-01,NNFA7,GOOLE & DISTRICT HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,1654,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1654,19,1635,98.85126964933495,0,Monthly-AE-May-2024.csv
2024-05-01,NNJ,DHU HEALTH CARE C.I.C,NHS ENGLAND MIDLANDS,0,0,2184,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2184,5,2179,99.77106227106228,0,Monthly-AE-May-2024.csv
2024-05-01,NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,NHS ENGLAND MIDLANDS,0,0,6249,0,0,585,0,0,34,0,0,0,0,0,0,0,0,0,6834,34,6800,99.50248756218906,0,Monthly-AE-May-2024.csv
2024-05-01,NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,NHS ENGLAND MIDLANDS,0,0,192,0,0,2136,0,0,1,0,0,0,0,0,0,0,0,0,2328,1,2327,99.95704467353951,0,Monthly-AE-May-2024.csv
2024-05-01,NNJ12,MARKET HARBOROUGH,NHS ENGLAND MIDLANDS,0,0,128,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,483,0,483,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,NNJ13,MELTON MOWBRAY,NHS ENGLAND MIDLANDS,0,0,78,0,0,373,0,0,1,0,0,0,0,0,0,0,0,0,451,1,450,99.77827050997783,0,Monthly-AE-May-2024.csv
2024-05-01,NNJ14,OADBY,NHS ENGLAND MIDLANDS,0,0,466,0,0,2283,0,0,0,0,0,0,0,0,0,0,0,0,2749,0,2749,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,NNJ15,OAKHAM,NHS ENGLAND MIDLANDS,0,0,67,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,458,0,458,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,NQT51,STATION PLAZA HEALTH CENTRE,NHS ENGLAND SOUTH EAST,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,1076,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,NQT5F,SKELMERSDALE WALK IN CENTRE,NHS ENGLAND NORTH WEST,0,0,1952,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1952,6,1946,99.69262295081967,0,Monthly-AE-May-2024.csv
2024-05-01,NQT5H,PAULTON MEMORIAL HOSPITAL,NHS ENGLAND SOUTH WEST,0,0,1032,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1032,10,1022,99.03100775193798,0,Monthly-AE-May-2024.csv
2024-05-01,NQTE4,SUMMERFIELD URGENT CARE CENTRE,NHS ENGLAND MIDLANDS,0,0,3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3478,0,3478,100.0,0,Monthly-AE-May-2024.csv
